,correl,event,ham
lower,-25280.1033208,-31453.6006344,-31931.9875001
max,18166.066406,1244612.5,45923.21875
min,-5643.373535,4524.693848,-1858.631226
upper,24813.1638674,27004.3708498,28499.2912106
